title,description,component
tool to mount ndfs on linux,tool to mount ndfs on linux. It depends on fuse and fuse-j.,fs
make Configuration an interface,"The Configuration class should become an interface, e.g.:  public interface Configuration {   String get(String nam);   String set(String name, String value);    int getInt(String name);   void setInt(String name, int value);   float getFloat(String name);   void setFloat(String name, float value);   //... other utility methods based on get(String) and set(String,String) ... }  An abstract class named ConfigurationBase should be implemented as follows:  public abstract class ConfigurationBase implements Configuration {   abstract public String get(String nam);   abstract public String set(String name, String value);    public  int getInt(String name) { ... implementation in terms of get(String) ... }   public void setInt(String name, int value) {... implementation in terms of set(String, String) ...}   public float getFloat(String name)  { ... implementation in terms of get(String) ... }   public void setFloat(String name, float value)  {... implementation in terms of set(String, String) ...}   //... other utility methods based on get(String) and set(String,String) ... }  A concrete, default implementation will be provided as follows:  public class ConfigurationImpl implements Writable extends ConfigurationBase {   private Properties properties;    // implement abstract methods from ConfigurationBase   public String get(String name) { ... implemented in terms of props ...}   public String set(String name, String value) { .. implemented in terms of props ... }    // Writable methods   public write(DataOutputStream out);   public readFields(DataInputStream in);    // permit chaining of configurations   public Configuration getDefaults();   public void setDefaults(Configuration defaults); }  Only code which creates configurations should need to be updated, so this shouldn't be a huge change.",conf
DF enhancement: performance and win XP support,"1. DF is called twice for each heartbeat, which happens each 3 seconds. There is a simple fix for that in the attached patch.  2. cygwin is required to run df program in windows environment. There is a class org.apache.commons.io.FileSystemUtils, which can return disk free space for different OSs, but it does not have means to get disk capacity. In general in windows there is no efficient and uniform way to calculate disk capacity using a shell command. The choices are 'chkdsk' and 'defrag -a', but both of them are too slow to be called every 3 seconds. WinXP and 2003 server have a new tool called fsutil, which provides all necessary info. I implemented a call to fsutil in case df fails, and the OS is right. Other win versions should still run cygwin. I tested this fetaure for linux, winXP and cygwin. See attached patch.",fs
Adding some uniformity/convenience to environment management,"Currently, ""slaves"" are loaded from ~/.slaves. What would be better would be to default from something like conf/hadoop-slaves  Perhaps split slaves, having a different set for ""datanodes"" vs. ""tasktracker"" nodes. ie, conf/hadoop-slaves-tasktracker, conf/hadoop-slaves-datanodes, or some similar split. There's the possibility it's worth building in the assumption that tasktracker is a superset, and thus implicitly includes datanodes, but this might be a bad assumption.  Also, make sure all scripts source something like conf/hadoop-env.sh. Thus, the user can edit hadoop-env.sh to specify JAVA_HOME, or an alternate HADOOP_SLAVES location. It would also be desirable to have a seed CLASSPATH here. Possibly name it HADOOP_CLASSPATH, to make it explicit and not make hadoop scripts possibly interact with an otherwise-set system CLASSPATH variable.  These changes would probably be useful to the nutch project, too.",conf
"bufferSize argument is ignored in FileSystem.create(File, boolean, int)","org.apache.hadoop.fs.FileSystem.create(File f, boolean overwrite, int bufferSize)  ignores the input parameter bufferSize. It passes further down the internal configuration, which includes the buffer size, but not the parameter value. This works fine within the file system, since everything that calls create extracts buffer size from the same config.  MapReduce although is probably affected by that, see   org.apache.hadoop.io.SequenceFile.Sorter.MergeQueue.MergeQueue(int size, String outName, boolean done)  The attached patch would fix it.",fs
JAVA_OPTS for the TaskRunner Child,"Currently, its possible to set the java heap size the TaskRunner child runs in, but thats all thats configurable about the child process.  Hereabouts, we've found it useful being able to specify other options for the child JVM, especially when debugging and monitoring long-lived processes.    Examples of why its useful being able to set options are the child include:  + Being able to set '-server' option or '-c64'. + Passing logging.properties to configure child logging. + Enable and capture to file verbose GC logging or start the SUN JVM JMX agent for the child process.  Allows connecting with jconsole to watch long-lived children, their heap and thread usage, and when seemingly hung, take thread dumps.",conf
PositionCache decrements its position for reads at the end of file,"See  int org.apache.hadoop.fs.FSDataInputStream.PositionCache.read(byte[] b, int off, int len)   if in.read() returns -1 (e.g. at the end of file) the position in the cache will be decremented, while it should be retained.  The attached patch would fix it.",fs
RPC exceptions should include remote stack trace,"Remote exceptions currently only report the exception string.  Instead they should report the entire remote stack trace, as a string, to facilitate debugging.",ipc
"SequenceFile should compress blocks, not individual entries","SequenceFile will optionally compress individual values.  But both compression and performance would be much better if sequences of keys and values are compressed together.  Sync marks should only be placed between blocks.  This will require some changes to MapFile too, so that all file positions stored there are the positions of blocks, not entries within blocks.  Probably this can be accomplished by adding a getBlockStartPosition() method to SequenceFile.Writer.",io
support generic command-line options,"Hadoop commands should all support some common options.  For example, it should be possible to specify the namenode, datanode, and, for that matter, any config option, in a generic way.  This could be implemented with code like:  public interface Tool extends Configurable {   void run(String[] args) throws Exception; }  public class ToolBase implements Tool extends Configured {   public final void main(String[] args) throws Exception {     Configuration conf = new Configuration();     ... parse config options from args into conf ...     this.configure(conf);     this.run();   } }  public MyTool extends ExcecutableBase {   public static void main(String[] args) throws Exception {     new MyTool().main(args);   } }  The general command line syntax could be:  bin/hadoop [generalOptions] command [commandOptions]  Where generalOptions are things that ToolBase handles, and only the commandOptions are passed to Tool.run().  The most important generalOption would be '-D', which would define name/value pairs that are set in the configuration.  This alone would permit folks to set the namenode, datanode, etc.",conf
Bashless Hadoop Start Script,This is for the people who want to try to get hadoop running without cygwin.  The code needs some work and could be improved. Attachment to follow.,scripts
can't get environment variables from HADOOP_CONF_DIR,The bin/hadoop script doesn't use the HADOOP_CONF_DIR variable to find hadoop-env.sh.,conf
add a record I/O framework to hadoop,"Hadoop could benefit greatly from a simple record I/O framework that enables the specification of simple record types and enables the generation of code for serialization/deserialization in multiple target languages. The framework would handle a small well understood set of primitive types and simple compositions of these (structs, vectors, maps) . It would be possible to leverage this framework to express I/O in MapReduce computations and to use this as the basis for Hadoops RPC implementation. This would make interfacing with code in languages other than Java much easier.","io,ipc"
hadoop doesn't take advatage of distributed compiting in TestDFSIO,"TestDFSIO runs N map jobs, each either writing to or reading from a separate file of the same size,  and collects statistical information on its performance.  The reducer further calculates the overall statistics for all maps.  It outputs the following data: - read or write test - date and time the test finished    - number of files - total number of bytes processed - overall throughput in mb/sec - average IO rate in mb/sec per file  __Results__ I run 7 iterations of the test one after another on a cluster of ~200 nodes.  The file size is the same in all cases 320Mb.  The number of files tried is 1,2,4,8,16,32,64. The log file with statistics is attached. It looks like we don't have any distributed computing here at all. The total execution time increases proportionally to the total size of data both for writes and reads. Another thing is that the io ratio for read is higher than the write rate just gradually. For comparison I attach time measuring for the same ios performed on the same cluster but sequentially in a simple loop. This is the summary:  Files map/red time sequential time  1  49     34   2  86     69  4  158   131  8  299   266 16  569   532 32  1131 64  2218  This doesn't look good, unless there is something wrong with my test (attached) or the cluster settings. ",fs
rpc commands not buffered,Calls using Hadoop's RPC framework get sent across the network byte by byte.,ipc
binary key,"I needed a binary key type, so I extended BytesWritable to be comparable also.",io
